City,Location,DT,Clouds,Feels Like,Humidity,Pressure,Temp,Temp Max,Temp Min,Weather Main,Wind Degree,Wind Speed,Is Rain,Atmospheric Pressure Ratio,Wind Impact
QuangNam,TP_TamKy,1653148800,100,25.52,93,1006,24.58,24.58,24.58,Clouds,227,1.08,0,0.9928448063163089,0.06923647351354499
DaNang,CamLe,1653148800,40,32.54,83,1006,27.99,27.99,27.99,Clouds,200,1.54,0,0.9928448063163089,0.6584426193846862
DaNang,NguHanhSon,1653148800,40,32.54,83,1006,27.99,27.99,27.99,Clouds,200,1.54,0,0.9928448063163089,0.6584426193846862
DaNang,SonTra,1653152400,75,25.99,94,1005,25.99,25.99,25.99,Clouds,190,2.57,0,0.9918578830495929,0.0
DaNang,SonTra,1653174000,75,25.99,94,1003,25.99,25.99,25.99,Clouds,0,0.51,0,0.9898840365161609,0.0
QuangNam,TP_HoiAn,1653177600,100,25.98,89,1003,25.98,25.98,25.98,Clouds,222,2.58,0,0.9898840365161609,0.0
QuangNam,TP_TamKy,1653181200,100,29.78,88,1003,26.72,26.72,26.72,Rain,252,1.38,1,0.9898840365161609,0.13049169638465294
DaNang,SonTra,1653181200,40,32.54,83,1003,27.99,27.99,27.99,Clouds,170,1.03,0,0.9898840365161609,0.46153015344917137
DaNang,SonTra,1653184800,40,36.01,74,1003,29.99,29.99,29.99,Clouds,140,1.54,0,0.9898840365161609,0.710184482326742
DaNang,LienChieu,1653192000,40,38.95,70,1003,31.95,31.95,31.95,Rain,180,2.06,1,0.9898840365161609,1.4420000000000006
QuangNam,TP_HoiAn,1653192000,100,38.98,80,1002,31.98,31.98,31.98,Rain,144,1.14,1,0.9888971132494448,0.6455955615112077
DaNang,HoaVang,1653192000,40,38.95,70,1003,31.95,31.95,31.95,Rain,180,2.06,1,0.9898840365161609,1.4420000000000006
DaNang,SonTra,1653195600,40,39.99,62,1002,32.99,32.99,32.99,Rain,160,1.54,1,0.9888971132494448,1.012988645207209
DaNang,HaiChau,1653195600,40,39.99,62,1002,32.99,32.99,32.99,Rain,160,1.54,1,0.9888971132494448,1.012988645207209
DaNang,ThanhKhe,1653195600,40,39.99,62,1002,32.99,32.99,32.99,Rain,160,1.54,1,0.9888971132494448,1.012988645207209
DaNang,CamLe,1653195600,40,39.99,62,1002,32.99,32.99,32.99,Rain,160,1.54,1,0.9888971132494448,1.012988645207209
DaNang,HoaVang,1653195600,40,39.95,62,1002,32.95,32.95,32.95,Rain,160,1.54,1,0.9888971132494448,1.012988645207209
QuangNam,TX_DienBan,1653195600,40,39.99,62,1002,32.99,32.99,32.99,Rain,160,1.54,1,0.9888971132494448,1.012988645207209
DaNang,NguHanhSon,1653195600,40,39.99,62,1002,32.99,32.99,32.99,Rain,160,1.54,1,0.9888971132494448,1.012988645207209
DaNang,LienChieu,1653195600,40,39.95,62,1002,32.95,32.95,32.95,Rain,160,1.54,1,0.9888971132494448,1.012988645207209
DaNang,HaiChau,1653199200,40,40.16,55,1002,33.99,33.99,33.99,Clouds,200,3.09,0,0.9888971132494448,1.7915521723069563
QuangNam,TP_TamKy,1653199200,100,35.96,70,1001,30.37,30.37,30.37,Clouds,63,2.9,0,0.9879101899827288,0.7359639991277793
QuangNam,TP_TamKy,1653206400,100,35.76,72,1000,30.09,30.09,30.09,Clouds,81,3.02,0,0.9869232667160128,0.2678689918669889
QuangNam,TP_TamKy,1653213600,79,34.23,81,1000,28.74,28.74,28.74,Clouds,96,2.49,0,0.9869232667160128,0.14289145457151475
DaNang,CamLe,1653213600,40,37.67,62,999,31.99,31.99,31.99,Clouds,110,3.09,0,0.9859363434492968,0.6002863939537479
DaNang,ThanhKhe,1653224400,20,34.5,79,1002,28.99,28.99,28.99,Clouds,0,0.51,0,0.9888971132494448,0.2810100000000001
DaNang,SonTra,1653228000,20,35.61,84,1003,28.99,28.99,28.99,Rain,100,1.03,1,0.9898840365161609,0.11840374642397311
DaNang,CamLe,1653228000,20,35.61,84,1003,28.99,28.99,28.99,Rain,100,1.03,1,0.9898840365161609,0.11840374642397311
DaNang,HaiChau,1653228000,20,35.61,84,1003,28.99,28.99,28.99,Rain,100,1.03,1,0.9898840365161609,0.11840374642397311
QuangNam,TX_DienBan,1653228000,20,35.61,84,1003,28.99,28.99,28.99,Rain,100,1.03,1,0.9898840365161609,0.11840374642397311
DaNang,ThanhKhe,1653228000,20,35.61,84,1003,28.99,28.99,28.99,Rain,100,1.03,1,0.9898840365161609,0.11840374642397311
DaNang,HoaVang,1653231600,20,32.44,83,1003,27.95,27.95,27.95,Clouds,0,0.51,0,0.9898840365161609,0.22898999999999994
DaNang,LienChieu,1653231600,20,32.44,83,1003,27.95,27.95,27.95,Clouds,0,0.51,0,0.9898840365161609,0.22898999999999994
DaNang,ThanhKhe,1653238800,20,32.54,83,1002,27.99,27.99,27.99,Clouds,0,0.0,0,0.9888971132494448,0.0
QuangNam,TP_HoiAn,1653242400,97,33.68,90,1001,27.98,27.98,27.98,Clouds,250,3.37,0,0.9879101899827288,0.6569864933142784
DaNang,SonTra,1653246000,40,33.54,89,1001,27.99,27.99,27.99,Clouds,0,0.51,0,0.9879101899827288,0.28305
QuangNam,TP_TamKy,1653246000,100,25.87,92,1001,24.92,24.92,24.92,Clouds,240,2.36,0,0.9879101899827288,0.11210000000000002
DaNang,HoaVang,1653256800,40,29.91,83,1001,26.95,26.95,26.95,Clouds,0,0.0,0,0.9879101899827288,0.0
DaNang,LienChieu,1653264000,20,33.37,74,1002,28.95,28.95,28.95,Clouds,0,0.51,0,0.9888971132494448,0.2254199999999999
DaNang,NguHanhSon,1653271200,40,36.86,52,1003,32.99,32.99,32.99,Clouds,250,1.54,0,0.9898840365161609,0.20383716501923232
DaNang,SonTra,1653274800,20,37.79,55,1003,32.99,32.99,32.99,Clouds,0,1.03,0,0.9898840365161609,0.49439999999999973
DaNang,CamLe,1653274800,20,37.79,55,1003,32.99,32.99,32.99,Clouds,0,1.03,0,0.9898840365161609,0.49439999999999973
DaNang,HoaVang,1653278400,20,40.17,49,1003,34.95,34.95,34.95,Clouds,230,2.06,0,0.9898840365161609,0.6912023724481294
QuangNam,TP_HoiAn,1653282000,96,40.98,64,1002,33.98,33.98,33.98,Rain,56,2.9,1,0.9888971132494448,1.135161594045616
DaNang,HoaVang,1653285600,40,37.57,62,1002,31.95,31.95,31.95,Rain,350,3.6,1,0.9888971132494448,1.9924630458942993
DaNang,HaiChau,1653285600,40,37.67,62,1002,31.99,31.99,31.99,Clouds,350,3.6,0,0.9888971132494448,2.0137348933593637
DaNang,LienChieu,1653285600,40,37.57,62,1002,31.95,31.95,31.95,Rain,350,3.6,1,0.9888971132494448,1.9924630458942993
DaNang,SonTra,1653289200,40,39.99,62,1002,32.99,32.99,32.99,Clouds,350,1.54,0,0.9888971132494448,1.0616227577471602
DaNang,HaiChau,1653292800,20,38.79,58,1002,32.99,32.99,32.99,Clouds,120,3.09,0,0.9888971132494448,0.8960999999999991
DaNang,HoaVang,1653292800,20,38.69,58,1002,32.95,32.95,32.95,Clouds,120,3.09,0,0.9888971132494448,0.8868299999999987
QuangNam,TX_DienBan,1653300000,20,37.99,74,1002,30.99,30.99,30.99,Clouds,90,3.6,0,0.9888971132494448,1.5430549669256658e-16
QuangNam,TP_TamKy,1653307200,88,29.67,88,1003,26.68,26.68,26.68,Clouds,35,0.41,0,0.9898840365161609,0.10041984910938757
DaNang,SonTra,1653325200,40,25.99,89,1006,25.99,25.99,25.99,Clouds,0,0.0,0,0.9928448063163089,0.0
DaNang,ThanhKhe,1653328800,40,25.99,89,1005,25.99,25.99,25.99,Clouds,0,0.0,0,0.9918578830495929,0.0
DaNang,HaiChau,1653339600,40,25.99,89,1005,25.99,25.99,25.99,Clouds,0,0.0,0,0.9918578830495929,0.0
QuangNam,TP_HoiAn,1653339600,100,25.98,87,1004,25.98,25.98,25.98,Rain,245,3.14,1,0.9908709597828769,0.0
QuangNam,TP_HoiAn,1653346800,100,30.08,84,1005,26.98,26.98,26.98,Rain,253,3.14,1,0.9918578830495929,0.2845946173771121
DaNang,HoaVang,1653346800,75,29.91,83,1005,26.95,26.95,26.95,Clouds,0,0.51,0,0.9918578830495929,0.15096000000000004
QuangNam,TP_HoiAn,1653350400,99,29.79,81,1006,26.98,26.98,26.98,Clouds,258,2.51,0,0.9928448063163089,0.14664219465067407
DaNang,LienChieu,1653354000,40,36.31,66,1006,30.95,30.95,30.95,Clouds,0,0.51,0,0.9928448063163089,0.27336000000000016
QuangNam,TX_DienBan,1653357600,40,36.41,66,1007,30.99,30.99,30.99,Clouds,0,0.51,0,0.9938317295830249,0.27641999999999994
QuangNam,TP_TamKy,1653361200,96,36.67,63,1007,31.45,31.45,31.45,Clouds,288,1.83,0,0.9938317295830249,0.2951915740466123
DaNang,HoaVang,1653364800,20,41.95,55,1007,34.95,34.95,34.95,Clouds,100,1.54,0,0.9938317295830249,0.1871927355249509
DaNang,CamLe,1653368400,20,40.99,59,1006,33.99,33.99,33.99,Clouds,70,2.57,0,0.9928448063163089,0.6152942378428781
DaNang,HoaVang,1653372000,40,38.69,58,1006,32.95,32.95,32.95,Clouds,360,4.63,0,0.9928448063163089,2.6576199999999974
DaNang,ThanhKhe,1653375600,40,39.99,62,1005,32.99,32.99,32.99,Clouds,350,4.12,0,0.9918578830495929,2.8401855596872077
DaNang,HoaVang,1653375600,40,39.95,62,1005,32.95,32.95,32.95,Clouds,350,4.12,0,0.9918578830495929,2.8401855596872077
DaNang,SonTra,1653390000,75,32.71,70,1006,28.99,28.99,28.99,Clouds,180,1.54,0,0.9928448063163089,0.5728800000000004
DaNang,HoaVang,1653390000,75,32.62,70,1006,28.95,28.95,28.95,Clouds,180,1.54,0,0.9928448063163089,0.5651799999999997
DaNang,HaiChau,1653390000,75,32.71,70,1006,28.99,28.99,28.99,Clouds,180,1.54,0,0.9928448063163089,0.5728800000000004
QuangNam,TP_HoiAn,1653390000,86,35.98,87,1006,28.98,28.98,28.98,Clouds,247,2.73,0,0.9928448063163089,0.7466871865430018
DaNang,HoaVang,1653404400,20,31.68,78,1009,27.95,27.95,27.95,Clouds,220,1.54,0,0.9958055761164569,0.44003124901640345
QuangNam,TP_HoiAn,1653415200,100,30.37,87,1007,26.98,26.98,26.98,Clouds,230,2.67,0,0.9938317295830249,0.5818063491555775
DaNang,HoaVang,1653418800,40,25.95,94,1007,25.95,25.95,25.95,Clouds,180,1.03,0,0.9938317295830249,0.0
DaNang,HoaVang,1653422400,40,25.95,89,1006,25.95,25.95,25.95,Clouds,0,0.0,0,0.9928448063163089,0.0
DaNang,ThanhKhe,1653429600,20,30.0,83,1007,26.99,26.99,26.99,Clouds,200,0.51,0,0.9938317295830249,0.1442522142168449
DaNang,NguHanhSon,1653440400,20,35.01,70,1009,29.99,29.99,29.99,Clouds,0,0.0,0,0.9958055761164569,0.0
DaNang,HaiChau,1653444000,40,37.67,62,1009,31.99,31.99,31.99,Clouds,0,0.51,0,0.9958055761164569,0.28968000000000016
DaNang,NguHanhSon,1653447600,40,38.79,58,1008,32.99,32.99,32.99,Clouds,0,0.0,0,0.9948186528497409,0.0
DaNang,ThanhKhe,1653451200,100,33.06,75,1007,28.74,28.74,28.74,Clouds,149,0.23,0,0.9938317295830249,0.08516814299776194
DaNang,LienChieu,1653458400,100,37.11,78,1006,30.11,30.11,30.11,Clouds,79,2.11,0,0.9928448063163089,0.28182488617115686
DaNang,ThanhKhe,1653465600,40,37.67,62,1005,31.99,31.99,31.99,Clouds,90,2.57,0,0.9918578830495929,8.938452057616707e-17
DaNang,HoaVang,1653465600,40,37.57,62,1005,31.95,31.95,31.95,Clouds,90,2.57,0,0.9918578830495929,8.844031789402442e-17
QuangNam,TP_TamKy,1653469200,68,35.95,79,1005,29.51,29.51,29.51,Rain,106,2.18,1,0.9918578830495929,0.38697279657860145
QuangNam,TX_DienBan,1653472800,98,33.57,82,1005,28.43,28.43,28.43,Clouds,123,2.77,0,0.9918578830495929,0.7754461652736954
QuangNam,TP_TamKy,1653476400,80,26.34,92,1005,26.34,26.34,26.34,Rain,203,2.75,1,0.9918578830495929,0.0
QuangNam,TP_HoiAn,1653476400,92,37.98,85,1005,30.98,30.98,30.98,Rain,168,3.41,1,0.9918578830495929,2.334838322951593
QuangNam,TX_DienBan,1653480000,40,34.08,66,1005,29.99,29.99,29.99,Rain,310,1.03,1,0.9918578830495929,0.2707871363326484
DaNang,HaiChau,1653480000,40,34.08,66,1005,29.99,29.99,29.99,Rain,310,1.03,1,0.9918578830495929,0.2707871363326484
DaNang,ThanhKhe,1653480000,40,34.08,66,1005,29.99,29.99,29.99,Rain,310,1.03,1,0.9918578830495929,0.2707871363326484
QuangNam,TP_HoiAn,1653480000,96,36.98,87,1006,29.98,29.98,29.98,Rain,175,3.29,1,0.9928448063163089,2.294236389705289
DaNang,CamLe,1653480000,40,34.08,66,1005,29.99,29.99,29.99,Rain,310,1.03,1,0.9918578830495929,0.2707871363326484
DaNang,HoaVang,1653480000,40,33.99,66,1005,29.95,29.95,29.95,Rain,310,1.03,1,0.9918578830495929,0.2674767801427629
QuangNam,TP_TamKy,1653480000,91,26.27,92,1006,26.27,26.27,26.27,Rain,207,2.55,1,0.9928448063163089,0.0
DaNang,LienChieu,1653480000,40,33.99,66,1005,29.95,29.95,29.95,Rain,310,1.03,1,0.9918578830495929,0.2674767801427629
DaNang,ThanhKhe,1653483600,40,33.47,74,1005,28.99,28.99,28.99,Rain,320,1.54,1,0.9918578830495929,0.5285093821966452
DaNang,NguHanhSon,1653483600,40,33.47,74,1005,28.99,28.99,28.99,Rain,320,1.54,1,0.9918578830495929,0.5285093821966452
DaNang,CamLe,1653483600,40,33.47,74,1005,28.99,28.99,28.99,Rain,320,1.54,1,0.9918578830495929,0.5285093821966452
QuangNam,TP_HoiAn,1653483600,100,35.98,90,1006,28.98,28.98,28.98,Rain,205,3.44,1,0.9928448063163089,2.1823891511842524
DaNang,HaiChau,1653483600,40,33.47,74,1005,28.99,28.99,28.99,Rain,320,1.54,1,0.9918578830495929,0.5285093821966452
QuangNam,TX_DienBan,1653483600,40,33.47,74,1005,28.99,28.99,28.99,Rain,320,1.54,1,0.9918578830495929,0.5285093821966452
DaNang,HoaVang,1653490800,20,34.39,79,1006,28.95,28.95,28.95,Rain,0,0.51,1,0.9928448063163089,0.2774400000000001
DaNang,SonTra,1653498000,20,32.54,83,1006,27.99,27.99,27.99,Clouds,220,1.03,0,0.9928448063163089,0.3590067282677091
DaNang,HaiChau,1653501600,20,30.6,89,1005,26.99,26.99,26.99,Clouds,200,2.06,0,0.9918578830495929,0.6988118143736493
DaNang,CamLe,1653505200,20,30.0,83,1005,26.99,26.99,26.99,Clouds,230,1.54,0,0.9918578830495929,0.29795776859409867
DaNang,HaiChau,1653523200,20,32.54,83,1005,27.99,27.99,27.99,Clouds,0,0.0,0,0.9918578830495929,0.0
DaNang,CamLe,1653530400,20,39.99,62,1006,32.99,32.99,32.99,Clouds,180,1.54,0,0.9928448063163089,1.078
DaNang,SonTra,1653530400,20,39.99,62,1006,32.99,32.99,32.99,Clouds,180,1.54,0,0.9928448063163089,1.078
DaNang,CamLe,1653534000,40,38.79,58,1005,32.99,32.99,32.99,Clouds,200,1.54,0,0.9918578830495929,0.839333448885973
QuangNam,TP_TamKy,1653537600,100,37.27,58,1004,32.35,32.35,32.35,Clouds,348,1.71,0,0.9908709597828769,0.8229351394493657
QuangNam,TX_DienBan,1653541200,40,41.99,55,1004,34.99,34.99,34.99,Clouds,200,4.63,0,0.9908709597828769,3.045543783967129
QuangNam,TP_HoiAn,1653544800,100,40.98,63,1002,33.98,33.98,33.98,Clouds,79,2.79,0,0.9888971132494448,0.37264996797039224
DaNang,HaiChau,1653544800,75,39.06,52,1003,33.99,33.99,33.99,Clouds,210,4.12,0,0.9898840365161609,1.8089885044410867
DaNang,LienChieu,1653552000,75,40.06,55,1002,33.95,33.95,33.95,Clouds,200,4.12,0,0.9888971132494448,2.365507028156783
DaNang,HoaVang,1653552000,75,40.06,55,1002,33.95,33.95,33.95,Clouds,200,4.12,0,0.9888971132494448,2.365507028156783
QuangNam,TP_HoiAn,1653566400,96,37.98,92,1003,30.98,30.98,30.98,Clouds,225,5.57,0,0.9898840365161609,2.757009339846348
QuangNam,TX_DienBan,1653566400,20,36.41,66,1002,30.99,30.99,30.99,Clouds,330,1.54,0,0.9888971132494448,0.7228540840307948
DaNang,NguHanhSon,1653570000,40,35.01,70,1003,29.99,29.99,29.99,Clouds,300,0.51,0,0.9898840365161609,0.12801
QuangNam,TX_DienBan,1653570000,40,35.01,70,1003,29.99,29.99,29.99,Clouds,300,0.51,0,0.9898840365161609,0.12801
DaNang,CamLe,1653580800,40,34.5,79,1004,28.99,28.99,28.99,Clouds,0,1.03,0,0.9908709597828769,0.5675300000000002
QuangNam,TP_HoiAn,1653580800,100,35.98,88,1004,28.98,28.98,28.98,Clouds,244,3.85,0,0.9908709597828769,1.181410240596564
QuangNam,TX_DienBan,1653584400,20,32.54,83,1003,27.99,27.99,27.99,Clouds,0,0.51,0,0.9898840365161609,0.23205000000000003
QuangNam,TX_DienBan,1653588000,20,31.77,78,1003,27.99,27.99,27.99,Clouds,250,0.51,0,0.9898840365161609,0.06593464323032257
QuangNam,TX_DienBan,1653591600,20,30.0,83,1002,26.99,26.99,26.99,Clouds,230,1.03,0,0.9888971132494448,0.1992834426311179
DaNang,CamLe,1653598800,20,29.53,78,1002,26.99,26.99,26.99,Clouds,220,1.03,0,0.9888971132494448,0.20041254720878726
DaNang,ThanhKhe,1653598800,20,29.53,78,1002,26.99,26.99,26.99,Clouds,220,1.03,0,0.9888971132494448,0.20041254720878726
QuangNam,TP_TamKy,1653602400,100,26.29,89,1002,25.37,25.37,25.37,Clouds,202,1.64,0,0.9888971132494448,0.1398934999770366
QuangNam,TX_DienBan,1653606000,20,25.99,83,1002,25.99,25.99,25.99,Clouds,0,0.0,0,0.9888971132494448,0.0
DaNang,LienChieu,1653606000,20,25.95,83,1002,25.95,25.95,25.95,Clouds,0,0.0,0,0.9888971132494448,0.0
QuangNam,TX_DienBan,1653613200,20,35.33,62,1003,30.99,30.99,30.99,Clouds,0,1.03,0,0.9898840365161609,0.44702000000000003
DaNang,HaiChau,1653624000,20,40.27,49,1003,34.99,34.99,34.99,Clouds,0,0.51,0,0.9898840365161609,0.2692800000000001
QuangNam,TX_DienBan,1653638400,20,38.79,58,1000,32.99,32.99,32.99,Clouds,90,4.63,0,0.9869232667160128,1.6443332572151502e-16
DaNang,SonTra,1653638400,20,38.79,58,1000,32.99,32.99,32.99,Clouds,90,4.63,0,0.9869232667160128,1.6443332572151502e-16
DaNang,NguHanhSon,1653645600,40,30.52,69,1002,27.99,27.99,27.99,Clouds,240,2.57,0,0.9888971132494448,0.3251050000000004
DaNang,HaiChau,1653670800,40,25.99,89,1004,25.99,25.99,25.99,Clouds,220,3.09,0,0.9908709597828769,0.0
DaNang,CamLe,1653674400,40,25.99,89,1002,25.99,25.99,25.99,Clouds,220,2.06,0,0.9888971132494448,0.0
DaNang,SonTra,1653674400,40,25.99,89,1002,25.99,25.99,25.99,Clouds,220,2.06,0,0.9888971132494448,0.0
QuangNam,TP_HoiAn,1653678000,100,25.98,89,1001,25.98,25.98,25.98,Clouds,230,3.23,0,0.9879101899827288,0.0
QuangNam,TP_TamKy,1653678000,100,25.92,91,1001,24.99,24.99,24.99,Clouds,229,2.46,0,0.9879101899827288,0.15009318465244886
DaNang,ThanhKhe,1653681600,20,26.0,94,1001,24.99,24.99,24.99,Clouds,0,0.51,0,0.9879101899827288,0.05151000000000008
DaNang,SonTra,1653685200,20,26.0,94,1001,24.99,24.99,24.99,Clouds,190,1.03,0,0.9879101899827288,0.10244955054586016
DaNang,ThanhKhe,1653688800,20,26.0,94,1001,24.99,24.99,24.99,Clouds,0,0.51,0,0.9879101899827288,0.05151000000000008
QuangNam,TP_TamKy,1653688800,93,25.37,89,1002,24.54,24.54,24.54,Clouds,231,1.94,0,0.9888971132494448,0.101333169366845
DaNang,ThanhKhe,1653692400,20,25.99,89,1001,25.99,25.99,25.99,Clouds,190,1.03,0,0.9879101899827288,0.0
DaNang,HaiChau,1653699600,20,36.41,66,1002,30.99,30.99,30.99,Clouds,0,1.03,0,0.9888971132494448,0.5582599999999999
QuangNam,TP_HoiAn,1653703200,39,39.98,70,1003,32.98,32.98,32.98,Clouds,228,2.27,0,0.9898840365161609,1.063248533504226
QuangNam,TX_DienBan,1653714000,20,38.79,58,1003,32.99,32.99,32.99,Clouds,360,5.66,0,0.9898840365161609,3.282799999999998
DaNang,CamLe,1653714000,20,38.79,58,1003,32.99,32.99,32.99,Clouds,360,5.66,0,0.9898840365161609,3.282799999999998
DaNang,SonTra,1653728400,40,35.33,62,1001,30.99,30.99,30.99,Clouds,340,3.6,0,0.9879101899827288,1.4681757507159034
DaNang,SonTra,1653732000,75,35.33,62,1001,30.99,30.99,30.99,Clouds,320,1.54,0,0.9879101899827288,0.5119934640029999
DaNang,HaiChau,1653732000,75,35.33,62,1001,30.99,30.99,30.99,Clouds,320,1.54,0,0.9879101899827288,0.5119934640029999
QuangNam,TP_HoiAn,1653732000,47,37.98,89,1002,30.98,30.98,30.98,Clouds,175,4.2,0,0.9888971132494448,2.928812412389731
DaNang,LienChieu,1653735600,40,35.91,74,1002,29.95,29.95,29.95,Clouds,150,1.54,0,0.9888971132494448,0.7948727566095088
DaNang,ThanhKhe,1653739200,40,34.5,79,1002,28.99,28.99,28.99,Clouds,220,2.06,0,0.9888971132494448,0.8695064056066274
DaNang,LienChieu,1653739200,40,34.39,79,1002,28.95,28.95,28.95,Clouds,220,2.06,0,0.9888971132494448,0.8584600447368518
QuangNam,TP_HoiAn,1653742800,91,33.34,88,1004,27.98,27.98,27.98,Clouds,214,3.72,0,0.9908709597828769,1.6530345966689501
DaNang,LienChieu,1653746400,40,31.11,74,1004,27.95,27.95,27.95,Clouds,240,1.54,0,0.9908709597828769,0.24332000000000026
DaNang,SonTra,1653746400,40,31.19,74,1004,27.99,27.99,27.99,Clouds,240,1.54,0,0.9908709597828769,0.24640000000000045
DaNang,CamLe,1653750000,40,33.47,74,1005,28.99,28.99,28.99,Clouds,0,0.0,0,0.9918578830495929,0.0
QuangNam,TX_DienBan,1653750000,40,33.47,74,1005,28.99,28.99,28.99,Clouds,0,0.0,0,0.9918578830495929,0.0
DaNang,ThanhKhe,1653753600,40,31.19,74,1005,27.99,27.99,27.99,Clouds,230,2.57,0,0.9918578830495929,0.5286285302062105
DaNang,SonTra,1653753600,40,31.19,74,1005,27.99,27.99,27.99,Clouds,230,2.57,0,0.9918578830495929,0.5286285302062105
QuangNam,TX_DienBan,1653757200,40,29.53,78,1005,26.99,26.99,26.99,Clouds,0,0.0,0,0.9918578830495929,0.0
DaNang,HoaVang,1653760800,40,25.95,83,1004,25.95,25.95,25.95,Clouds,200,2.06,0,0.9908709597828769,0.0
DaNang,NguHanhSon,1653764400,20,25.99,89,1003,25.99,25.99,25.99,Clouds,230,1.03,0,0.9898840365161609,0.0
DaNang,CamLe,1653764400,20,25.99,89,1003,25.99,25.99,25.99,Clouds,230,1.03,0,0.9898840365161609,0.0
QuangNam,TP_HoiAn,1653771600,86,25.98,86,1002,25.98,25.98,25.98,Clouds,236,3.36,0,0.9888971132494448,0.0
DaNang,CamLe,1653778800,20,25.99,89,1003,25.99,25.99,25.99,Clouds,190,0.51,0,0.9898840365161609,0.0
QuangNam,TP_TamKy,1653778800,67,25.05,85,1003,24.34,24.34,24.34,Clouds,239,2.3,0,0.9898840365161609,0.08410571763281198
DaNang,HoaVang,1653778800,20,25.95,89,1003,25.95,25.95,25.95,Clouds,190,0.51,0,0.9898840365161609,0.0
QuangNam,TP_HoiAn,1653782400,34,36.98,81,1004,29.98,29.98,29.98,Clouds,239,3.57,0,0.9908709597828769,1.2870801492002255
QuangNam,TP_HoiAn,1653789600,37,39.98,70,1005,32.98,32.98,32.98,Clouds,245,3.45,0,0.9918578830495929,1.0206231021037904
DaNang,SonTra,1653789600,0,37.79,55,1004,32.99,32.99,32.99,Clear,0,0.51,0,0.9908709597828769,0.24479999999999985
DaNang,LienChieu,1653793200,0,39.07,46,1005,34.95,34.95,34.95,Clear,0,1.03,0,0.9918578830495929,0.42435999999999974
DaNang,ThanhKhe,1653800400,20,41.45,52,1004,34.99,34.99,34.99,Clouds,350,3.09,0,0.9908709597828769,1.9658141480977889
DaNang,ThanhKhe,1653804000,20,41.45,52,1003,34.99,34.99,34.99,Clouds,330,3.09,0,0.9898840365161609,1.728707949510269
DaNang,LienChieu,1653804000,20,41.35,52,1003,34.95,34.95,34.95,Clouds,330,3.09,0,0.9898840365161609,1.712651838524105
DaNang,LienChieu,1653807600,20,41.35,52,1002,34.95,34.95,34.95,Clouds,60,2.06,0,0.9888971132494448,0.6592
DaNang,HaiChau,1653807600,20,41.45,52,1002,34.99,34.99,34.99,Clouds,60,2.06,0,0.9888971132494448,0.6653800000000002
DaNang,CamLe,1653807600,20,41.45,52,1002,34.99,34.99,34.99,Clouds,60,2.06,0,0.9888971132494448,0.6653800000000002
DaNang,CamLe,1653811200,20,40.99,62,1001,33.99,33.99,33.99,Clouds,60,3.09,0,0.9879101899827288,1.0815000000000003
QuangNam,TX_DienBan,1653811200,20,40.99,62,1001,33.99,33.99,33.99,Clouds,60,3.09,0,0.9879101899827288,1.0815000000000003
QuangNam,TX_DienBan,1653818400,40,37.67,62,1001,31.99,31.99,31.99,Clouds,110,3.6,0,0.9879101899827288,0.6993627890723279
